city_id,city,population,country,lat,lng
369,Chirala,172826.0,India,15.8246,80.3521
370,Gadag,172813.0,India,15.4167,75.6167
371,Tiruvannamalai,172348.0,India,12.13,79.07
372,Bidar,172298.0,India,17.912,77.52
373,Villupuram,171131.0,India,11.9401,79.4861
374,Nawsari,171109.0,India,20.95,72.93
375,Valsad,170060.0,India,20.61,72.926
376,Medinipur,169264.0,India,22.424,87.319
377,Damoh,168916.0,India,23.8331,79.4419
378,Haripur,168443.0,India,31.53,75.92
379,Neyveli,168368.0,India,11.6088,79.4994
380,Baramula,167986.0,India,34.198,74.364
381,Malkapur,167740.0,India,20.885,76.2
382,Jind,167592.0,India,29.3167,76.3167
383,Chandannagar,166867.0,India,22.87,88.38
384,Ādoni,166344.0,India,15.6279,77.2749
385,Udipi,165401.0,India,13.3389,74.7451
386,Fyzabad,165228.0,India,26.773,82.146
387,Sawai Madhopur,165000.0,India,26.0,76.35
388,Tenali,164937.0,India,16.239,80.645
389,Conjeeveram,164384.0,India,12.8185,79.6947
390,Madhubani,164156.0,India,26.3519,86.0719
391,Proddatur,163970.0,India,14.75,78.55
392,Sultanpur Mazra,163716.0,India,28.6981,77.0689
393,Godhra,161925.0,India,22.7772,73.6203
394,Multai,161819.0,India,21.77,78.25
395,Pangzawl,161428.0,India,22.91,92.76
396,Prantij,161279.0,India,23.4384,72.8572
397,Moga,159897.0,India,30.822,75.174
398,Budaun,159221.0,India,28.05,79.12
399,Uttarpara,159147.0,India,22.67,88.35
400,Daltonganj,158941.0,India,24.03,84.07
401,Jamkhed,158380.0,India,18.72,75.32
402,Bharuch,158253.0,India,21.712,72.993
403,Lunglei,157000.0,India,22.88,92.73
404,Saharsa,156540.0,India,25.88,86.6
405,Vidisha,155959.0,India,23.53,77.82
406,Pathankot,155909.0,India,32.2668,75.6
407,Karwar,155213.0,India,14.8,74.13
408,Thanesar,154962.0,India,29.9667,76.8167
409,Kishangarh,154886.0,India,26.57,74.87
410,Rudarpur,154485.0,India,28.98,79.4
411,Tindwara,154428.0,India,25.4833,80.3333
412,Nalgonda,154326.0,India,17.0575,79.2684
413,Dibrugarh,154019.0,India,27.48,95.0
414,Veraval,153696.0,India,20.9159,70.3629
415,Betul Bazar,153330.0,India,21.905,77.902
416,Balurghat,153279.0,India,25.22,88.76
417,Jorhat,153249.0,India,26.75,94.22
418,Krishnanagar,153062.0,India,23.4,88.5
419,Barakpur,152783.0,India,22.76,88.37
420,Porbandar,152760.0,India,21.6417,69.6293
421,Shantipur,151777.0,India,23.25,88.43
422,Hindupur,151677.0,India,13.83,77.49
423,Beawar,151472.0,India,26.1,74.32
424,Bhalswa Jahangirpur,151427.0,India,28.7354,77.1638
425,Erode,151184.0,India,11.3409,77.7171
426,Sibsagar,150781.0,India,26.9844,94.6375
427,Nangloi Jat,150371.0,India,28.6833,77.0667
428,Soro,150000.0,India,21.29,86.69
429,Nuzvid,148590.0,India,16.7881,80.8465
430,Sitarganj,148266.0,India,28.93,79.7
431,Hajipur,147688.0,India,25.6925,85.2084
432,Habra,147221.0,India,22.83,88.63
433,Bara Banki,146831.0,India,26.92,81.2
434,Bir,146709.0,India,18.99,75.76
435,Narnaul,145897.0,India,28.0444,76.1056
436,Chitaldrug,145853.0,India,14.23,76.4
437,Etah,145601.0,India,27.63,78.67
438,Abohar,145302.0,India,30.1334,74.2001
439,Kaithal,144915.0,India,29.8015,76.3998
440,Balasore,144373.0,India,21.5033,86.925
441,Koiridih,143529.0,India,24.18,86.3
442,Shillong,143229.0,India,25.5822,91.8944
443,Rewari,143021.0,India,28.18,76.62
444,Hazaribagh,142489.0,India,23.98,85.35
445,Bhimavaram,142184.0,India,16.543,81.523
446,Mandsaur,141667.0,India,24.072,75.069
447,Chas,141640.0,India,23.63,86.17
448,Port Blair,140572.0,India,11.6683,92.7378
449,Harchandpur,140274.0,India,26.36,81.17
450,Kumbakonam,140156.0,India,10.9602,79.3845
451,Aul,139628.0,India,20.67,86.64
452,Kolar,138462.0,India,13.1333,78.1333
453,Chicacole,137944.0,India,18.3,83.9
454,Bankura,137386.0,India,23.25,87.07
455,Mandya,137358.0,India,12.52,76.9
456,Dehri,137231.0,India,24.91,84.18
457,Durgauti,136962.0,India,25.2114,83.5308
458,Mainpuri,136557.0,India,27.23,79.02
459,Talaivasal,136026.0,India,11.5867,78.7583
460,Raigarh,135363.0,India,21.8974,83.395
461,Haraipur,135066.0,India,26.22,84.36
462,Siwan,135066.0,India,26.22,84.36
463,Kalol,133737.0,India,23.246,72.496
464,Hassan,133436.0,India,13.012,76.068
465,Lalitpur,133305.0,India,24.69,78.41
466,Paramagudi,133000.0,India,9.5494,78.5891
467,Gondia,132821.0,India,21.4598,80.195
468,Dalupura,132628.0,India,28.6004,77.3194
469,Naryai ka Puri,132072.0,India,26.52,78.35
470,Palwal,131926.0,India,28.1447,77.3255
471,Palghat,130955.0,India,10.775,76.651
472,Ānand,130462.0,India,22.556,72.951
473,Botad,130302.0,India,22.17,71.67
474,Mukerian,129841.0,India,31.95,75.62
475,Hanumangarh,129654.0,India,29.58,74.32
476,Jetpur,129653.0,India,21.7542,70.6222
477,Arcot,129640.0,India,12.9047,79.3238
478,Kanchrapara,129576.0,India,22.9456,88.4332
479,Hoshangabad,128599.0,India,22.7475,77.7274
480,Khanna,128137.0,India,30.7,76.22
481,Nagda,127484.0,India,23.4564,75.4131
482,Hardoi,126851.0,India,27.42,80.12
483,Guntakal,126270.0,India,15.17,77.38
484,Pithampur,126099.0,India,22.6197,75.6933
485,Patan,125497.0,India,23.85,72.125
486,Basirhat,125254.0,India,22.6572,88.8942
487,Raxaul,125210.0,India,26.9833,84.85
488,Halisahar,124939.0,India,22.9469,88.4184
489,Jagadhri,124894.0,India,30.168,77.301
490,Sunam,124590.0,India,30.13,75.8
491,Rishra,124577.0,India,22.71,88.35
492,Jharsugra,124500.0,India,21.85,84.03
493,Nandgaon,123191.0,India,20.307,74.657
494,Alwal,123031.0,India,17.5047,78.5038
495,Dimapur,122834.0,India,25.9092,93.7266
496,Sarangapuram,122368.0,India,18.9447,78.9936
